"","Time","SSC.H","SSC.A","FSC.H","FSC.A","SSC.B.H","SSC.B.A","BV421.A","eFluor.450.A","LIVE.DEAD.Blue.A","BV480.A","BV510.A","BV570.A","Super.Bright.645.A","BV711.A","BV785.A","BB515.A","Alexa.Fluor.532.A","PerCP.A","BB700.A","PE.A","PE.Texas.Red.A","PE.Cy5.A","PE.Alexa.Fluor.700.A","PE.Cy7.A","Alexa.Fluor.647.A","Alexa.Fluor.700.A","APC.Cy7.A","FileName","Tetramer_Positive","Tetramer_Positive_AllSheet"
"46",1.80189991,317920,325663.5,1339653,1402649.63,311104,341665.781,1166.85156,2398.40625,1694.14697,26322.0938,-703.02783,2786.37451,1068.1311,3741.9541,887.019958,2674.26685,8694.62012,383.730591,118.748444,-269.84927,70819.9297,-208.02234,1348.2594,9239.66504,1151.99377,503.55661,92406.9375,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"47",1.81339991,470740,472421.625,1127437,1249535.88,336388,413003.844,1143.80078,2746.46802,1798.56104,24701.8945,1536.02356,2326.74902,1693.65564,13841.3359,456.787781,4572.68945,18582.4805,-50.212341,325.440887,214.382034,78747.9531,-782.56238,30.0965881,18461.457,491.671631,691.173767,79171.7578,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"48",1.89219999,562877,604022.688,1244737,1335997.88,504086,588253.5,1591.95117,711.493896,3172.03809,2479.85742,2846.50122,32715.3652,923.740479,953.856567,222.458374,2815.21191,6564.57275,239.593369,-113.18066,-318.65173,66.8395691,731.012512,399.326843,20140.459,10.6908112,746.716064,2698.31836,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"49",1.91949999,497340,524253.531,1321143,1453984.75,399450,495113.5,997.516785,1270.9696,3019.4043,34237.793,2993.59058,38907.0859,-132.75592,6364.22021,785.503357,379.734985,4869.16895,91.5899048,-481.91821,342.720551,64.5409241,635.966553,3628.29492,11138.4238,1710.71118,433.819427,120338.023,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"50",1.95299995,282307,292227.156,1401784,1460052.63,309033,339345,2002.89722,1203.67542,1582.55713,18701.0156,-108.95508,2137.83936,1310.97314,7520.72852,-193.65033,1425.05737,9559.41309,-1074.2299,-282.07269,616.664429,74206.625,1716.95142,1011.27802,8659.16406,646.789246,-604.00604,85579.9531,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"51",1.97759998,267455,265129.938,1414502,1527316.25,195890,232385.203,1505.68506,2189.21191,2430.11475,27600.2363,1703.90625,646.549561,112.919434,11481.748,1054.52307,1007.21136,7338.55225,1420.70703,771.55011,1998.17664,88411.6094,-2707.1367,1357.96826,15405.2109,796.598267,739.478882,28968.2793,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"52",2.06999993,493369,523211,1186362,1345987,444888,533079.688,2160.85693,1029.00269,2892.51807,3192.36865,612.595703,33328.1289,642.116882,1519.78369,149.895386,683.745483,10912.457,-1.3782501,11093.0781,1021.97931,450.150146,301.576538,-197.15527,15049.4121,882.918823,938.30365,488.831665,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"53",2.10909986,269514,271151.75,1469953,1575816.88,252072,290240.719,2517.79321,415.074036,1897.9176,4879,1076.28369,12977.6924,421.064331,189.868866,396.768585,-21.86438,5003.99756,1286.23059,561.033203,1155.35657,239.632019,-88.27124,611.495117,6109.26074,405.179565,328.737549,410.01416,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"54",2.11039996,137543,144613.328,1434090,1505767.5,190292,209604.672,1410.57141,756.165161,1577.49414,11559.2393,-173.32422,1050.38135,562.700562,1476.1626,1051.03149,736.200256,3486.45166,1834.15161,52.3214111,2337.07642,62580,402.098877,26367.9063,10725.5732,-19.156311,527.390442,5916.26758,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"55",2.14719987,310118,332674.219,1353786,1415510.25,401739,458608.094,1804.70337,1472.06091,2218.45044,9011.38184,581.466553,29320.6367,917.985291,6080.00244,568.113708,1456.31189,5848.31885,-23.599869,52.6844788,-357.31039,644.031433,220.185349,594.171692,7500.87012,292.461487,-137.11465,70180.2266,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
